subject,n,accuracy,balanced_accuracy
10,45,0.5555555555555556,0.5505952380952381
11,45,0.5111111111111111,0.516798418972332
14,45,0.5777777777777777,0.5780632411067194
15,45,0.5111111111111111,0.5217391304347826
18,45,0.5111111111111111,0.5039525691699605
20,45,0.5333333333333333,0.5276679841897234
25,45,0.6,0.6057312252964426
26,45,0.7333333333333333,0.7351190476190477
36,45,0.5111111111111111,0.5138339920948617
39,45,0.5555555555555556,0.5632411067193676
42,45,0.6888888888888889,0.6926877470355731
48,45,0.5111111111111111,0.5217391304347826
51,45,0.5777777777777777,0.5476190476190477
55,45,0.5555555555555556,0.5592885375494071
57,45,0.5777777777777777,0.5773809523809523
59,45,0.4666666666666667,0.4732142857142857
64,45,0.6222222222222222,0.6235177865612648
68,45,0.5111111111111111,0.5217391304347826
70,45,0.5333333333333333,0.5424901185770751
73,45,0.4888888888888889,0.4841897233201581
74,45,0.6,0.5952380952380952
75,45,0.7111111111111111,0.7164031620553359
82,45,0.4444444444444444,0.4505928853754941
87,45,0.5111111111111111,0.5108695652173914
89,45,0.4666666666666667,0.45535714285714285
91,45,0.4888888888888889,0.48122529644268774
97,45,0.4666666666666667,0.45652173913043476
100,36,0.4444444444444444,0.4444444444444444
101,45,0.5555555555555556,0.5622529644268774
109,45,0.4888888888888889,0.5
