subject,n,accuracy,balanced_accuracy
10,45,0.5111111111111111,0.5119047619047619
11,45,0.5111111111111111,0.5148221343873518
14,45,0.5555555555555556,0.558300395256917
15,45,0.4888888888888889,0.5
18,45,0.5111111111111111,0.5029644268774703
20,45,0.6,0.6037549407114624
25,45,0.5777777777777777,0.5859683794466404
26,45,0.5555555555555556,0.5416666666666666
36,45,0.4444444444444444,0.45454545454545453
39,45,0.4222222222222222,0.42292490118577075
42,45,0.7111111111111111,0.717391304347826
48,45,0.5333333333333333,0.5345849802371542
51,45,0.5555555555555556,0.5327380952380952
55,45,0.5333333333333333,0.5296442687747036
57,45,0.4444444444444444,0.46130952380952384
59,45,0.5111111111111111,0.5089285714285714
64,45,0.4888888888888889,0.49011857707509876
68,45,0.4888888888888889,0.5
70,45,0.4666666666666667,0.4762845849802371
73,45,0.5555555555555556,0.5454545454545454
74,45,0.6,0.5744047619047619
75,45,0.5333333333333333,0.5247035573122529
82,45,0.4666666666666667,0.4762845849802371
87,45,0.6222222222222222,0.616600790513834
89,45,0.7111111111111111,0.7113095238095238
91,45,0.5333333333333333,0.5375494071146245
97,45,0.5333333333333333,0.5227272727272727
100,36,0.5,0.5
101,45,0.5111111111111111,0.5217391304347826
109,45,0.4888888888888889,0.5
