subject,n,accuracy,balanced_accuracy
10,45,0.5333333333333333,0.5
11,45,0.5111111111111111,0.5
14,45,0.4888888888888889,0.5
15,45,0.5111111111111111,0.5
18,45,0.4888888888888889,0.5
20,45,0.5111111111111111,0.5
25,45,0.4888888888888889,0.5
26,45,0.5333333333333333,0.5
36,45,0.5111111111111111,0.5
39,45,0.5111111111111111,0.5
42,45,0.4888888888888889,0.5
48,45,0.4888888888888889,0.5
51,45,0.5333333333333333,0.5
55,45,0.5111111111111111,0.5
57,45,0.5333333333333333,0.5
59,45,0.5333333333333333,0.5
64,45,0.5111111111111111,0.5
68,45,0.4888888888888889,0.5
70,45,0.4888888888888889,0.5
73,45,0.5111111111111111,0.5
74,45,0.5333333333333333,0.5
75,45,0.4888888888888889,0.5
82,45,0.5111111111111111,0.5
87,45,0.4888888888888889,0.5
89,45,0.5333333333333333,0.5
91,45,0.4888888888888889,0.5
97,45,0.5111111111111111,0.5
100,36,0.5,0.5
101,45,0.4888888888888889,0.5
109,45,0.5111111111111111,0.5
