subject,n,accuracy,balanced_accuracy
10,45,0.6,0.5773809523809523
11,45,0.5111111111111111,0.5059288537549407
14,45,0.5333333333333333,0.5237154150197628
15,45,0.5111111111111111,0.5088932806324111
18,45,0.5555555555555556,0.5543478260869565
20,45,0.5111111111111111,0.5059288537549407
25,45,0.4888888888888889,0.5
26,45,0.5333333333333333,0.5178571428571428
36,45,0.5777777777777777,0.5830039525691699
39,45,0.6444444444444445,0.6452569169960474
42,45,0.5333333333333333,0.5316205533596838
48,45,0.5111111111111111,0.5177865612648221
51,45,0.4444444444444444,0.46726190476190477
55,45,0.37777777777777777,0.37845849802371545
57,45,0.5777777777777777,0.5714285714285714
59,45,0.5555555555555556,0.5446428571428572
64,45,0.4666666666666667,0.4723320158102767
68,45,0.5777777777777777,0.5691699604743083
70,45,0.5555555555555556,0.5464426877470356
73,45,0.5555555555555556,0.5573122529644269
74,45,0.5333333333333333,0.5029761904761905
75,45,0.5777777777777777,0.5849802371541502
82,45,0.6,0.5938735177865613
87,45,0.6222222222222222,0.6215415019762847
89,45,0.5333333333333333,0.5446428571428572
91,45,0.4666666666666667,0.4713438735177865
97,45,0.7111111111111111,0.7134387351778657
100,36,0.4722222222222222,0.4722222222222222
101,45,0.4888888888888889,0.4940711462450593
109,45,0.6,0.5948616600790514
