subject,n,accuracy,balanced_accuracy
10,45,0.4666666666666667,0.45833333333333337
11,45,0.5333333333333333,0.5276679841897234
14,45,0.6222222222222222,0.6146245059288538
15,45,0.6222222222222222,0.6294466403162056
18,45,0.37777777777777777,0.3804347826086957
20,45,0.5333333333333333,0.5247035573122529
25,45,0.6,0.607707509881423
26,45,0.5777777777777777,0.5654761904761905
36,45,0.4666666666666667,0.46837944664031617
39,45,0.4666666666666667,0.46047430830039526
42,45,0.8222222222222222,0.8231225296442688
48,45,0.5333333333333333,0.5434782608695652
51,45,0.4666666666666667,0.4613095238095238
55,45,0.6888888888888889,0.6887351778656126
57,45,0.4666666666666667,0.49107142857142855
59,45,0.3333333333333333,0.33035714285714285
64,45,0.5555555555555556,0.558300395256917
68,45,0.4888888888888889,0.4950592885375494
70,45,0.4444444444444444,0.4505928853754941
73,45,0.6222222222222222,0.6215415019762847
74,45,0.6,0.5922619047619048
75,45,0.6,0.6086956521739131
82,45,0.5555555555555556,0.5612648221343874
87,45,0.5333333333333333,0.5227272727272727
89,45,0.4444444444444444,0.4464285714285714
91,45,0.6,0.5968379446640316
97,45,0.4888888888888889,0.48320158102766797
100,36,0.5,0.5
101,45,0.4888888888888889,0.49011857707509876
109,45,0.4888888888888889,0.5
