subject,n,accuracy,balanced_accuracy
10,45,0.4888888888888889,0.48511904761904756
11,45,0.5111111111111111,0.5049407114624506
14,45,0.6222222222222222,0.6156126482213439
15,45,0.6222222222222222,0.6294466403162056
18,45,0.4,0.40217391304347827
20,45,0.5777777777777777,0.5711462450592886
25,45,0.5555555555555556,0.5632411067193676
26,45,0.6,0.5863095238095237
36,45,0.4666666666666667,0.46837944664031617
39,45,0.5111111111111111,0.5069169960474308
42,45,0.8,0.8013833992094861
48,45,0.5777777777777777,0.5869565217391304
51,45,0.5111111111111111,0.5059523809523809
55,45,0.6888888888888889,0.6887351778656126
57,45,0.4666666666666667,0.49107142857142855
59,45,0.35555555555555557,0.3571428571428571
64,45,0.6,0.6007905138339921
68,45,0.5555555555555556,0.5632411067193676
70,45,0.4444444444444444,0.4505928853754941
73,45,0.6222222222222222,0.6225296442687747
74,45,0.5333333333333333,0.5327380952380952
75,45,0.6,0.6086956521739131
82,45,0.5777777777777777,0.5849802371541502
87,45,0.5333333333333333,0.5227272727272727
89,45,0.4444444444444444,0.4494047619047619
91,45,0.6222222222222222,0.6195652173913043
97,45,0.4888888888888889,0.48122529644268774
101,45,0.4666666666666667,0.46739130434782605
109,45,0.4888888888888889,0.5
