subject,n,accuracy,balanced_accuracy
10,15,0.4,0.4017857142857143
11,15,0.5333333333333333,0.5178571428571428
14,15,0.6666666666666666,0.6428571428571428
15,15,0.4666666666666667,0.49107142857142855
18,15,0.3333333333333333,0.35714285714285715
20,15,0.5333333333333333,0.5357142857142857
25,15,0.5333333333333333,0.5
26,15,0.5333333333333333,0.5
36,15,0.6,0.5892857142857143
39,15,0.4666666666666667,0.5
42,15,0.5333333333333333,0.5625
48,15,0.4666666666666667,0.5
51,15,0.5333333333333333,0.5089285714285714
55,15,0.4666666666666667,0.45535714285714285
57,15,0.5333333333333333,0.5
59,15,0.5333333333333333,0.5178571428571428
64,15,0.6666666666666666,0.6696428571428572
68,15,0.4,0.3839285714285714
70,15,0.8666666666666667,0.8660714285714286
73,15,0.6666666666666666,0.6607142857142857
74,15,0.5333333333333333,0.5
75,15,0.5333333333333333,0.5625
82,15,0.6,0.5803571428571428
87,15,0.4666666666666667,0.45535714285714285
89,15,0.2,0.19642857142857142
91,15,0.4666666666666667,0.4375
97,15,0.4,0.41964285714285715
100,12,0.4166666666666667,0.41666666666666663
101,15,0.4666666666666667,0.4642857142857143
109,15,0.4666666666666667,0.5
