subject,n,accuracy,balanced_accuracy
10,15,0.4,0.4017857142857143
11,15,0.6,0.5892857142857143
14,15,0.5333333333333333,0.5089285714285714
15,15,0.8666666666666667,0.875
18,15,0.5333333333333333,0.5446428571428572
20,15,0.5333333333333333,0.5267857142857143
25,15,0.6666666666666666,0.6696428571428572
26,15,0.4666666666666667,0.45535714285714285
36,15,0.4,0.4107142857142857
39,15,0.7333333333333333,0.7410714285714286
42,15,0.9333333333333333,0.9285714285714286
48,15,0.5333333333333333,0.5625
51,15,0.4666666666666667,0.4732142857142857
55,15,0.6,0.6071428571428572
57,15,0.4666666666666667,0.45535714285714285
59,15,0.5333333333333333,0.5357142857142857
64,15,0.6666666666666666,0.6607142857142857
68,15,0.4,0.4107142857142857
70,15,0.6666666666666666,0.6785714285714286
73,15,0.6,0.6160714285714286
74,15,0.6,0.6071428571428572
75,15,0.8666666666666667,0.875
82,15,0.6666666666666666,0.6875
87,15,0.5333333333333333,0.5357142857142857
89,15,0.3333333333333333,0.3482142857142857
91,15,0.5333333333333333,0.5357142857142857
97,15,0.6666666666666666,0.6696428571428572
100,12,0.5,0.5
101,15,0.5333333333333333,0.5267857142857143
109,15,0.4,0.4107142857142857
