subject,n,accuracy,balanced_accuracy
10,13,0.46153846153846156,0.4642857142857143
11,10,1.0,1.0
14,15,0.5333333333333333,0.6111111111111112
15,12,0.5,0.5
18,10,0.3,0.30952380952380953
20,13,0.5384615384615384,0.5476190476190476
25,11,0.6363636363636364,0.4375
26,14,0.5714285714285714,0.5714285714285714
36,8,0.5,0.4666666666666667
39,7,0.0,0.0
42,11,0.45454545454545453,0.48333333333333334
48,8,0.5,0.4666666666666667
51,9,0.2222222222222222,0.125
55,9,0.3333333333333333,0.325
57,19,0.5263157894736842,0.5
59,18,0.4444444444444444,0.38961038961038963
64,11,0.6363636363636364,0.65
68,9,0.5555555555555556,0.6
70,14,0.35714285714285715,0.55
73,10,0.4,0.5714285714285714
74,10,0.6,0.6
75,12,0.4166666666666667,0.4166666666666667
82,13,0.6923076923076923,0.5694444444444444
87,6,0.6666666666666666,0.75
89,14,0.35714285714285715,0.4111111111111111
91,13,0.46153846153846156,0.48809523809523814
97,6,0.0,0.0
100,6,0.5,0.5
101,13,0.38461538461538464,0.39285714285714285
109,12,0.4166666666666667,0.5
