subject,n,accuracy,balanced_accuracy
10,13,0.46153846153846156,0.4642857142857143
11,10,0.8,0.6875
14,15,0.6666666666666666,0.7222222222222222
15,12,0.75,0.75
18,10,0.4,0.47619047619047616
20,13,0.46153846153846156,0.4642857142857143
25,11,0.36363636363636365,0.4583333333333333
26,14,0.7142857142857143,0.7142857142857143
36,8,0.0,0.0
39,7,0.5714285714285714,0.75
42,11,0.6363636363636364,0.65
48,8,0.625,0.5
51,9,0.3333333333333333,0.1875
55,9,0.5555555555555556,0.55
57,19,0.5789473684210527,0.5722222222222222
59,18,0.2777777777777778,0.2792207792207792
64,11,0.18181818181818182,0.16666666666666666
68,9,0.4444444444444444,0.45
70,14,0.5,0.575
73,10,0.7,0.5952380952380952
74,10,0.8,0.8
75,12,0.8333333333333334,0.8333333333333333
82,13,0.38461538461538464,0.4861111111111111
87,6,0.3333333333333333,0.25
89,14,0.5,0.5222222222222221
91,13,0.38461538461538464,0.38095238095238093
97,6,0.5,0.625
100,6,0.5,0.5
101,13,0.38461538461538464,0.40476190476190477
109,12,0.5833333333333334,0.5857142857142856
